AGENCY,PROGRAM_MODEL,CITY,STATE,WARD
Infant Welfare Society of Chicago,Early Head Start – RTL,Chicago,IL,31
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,3
Mary Crane League,Early Head Start,Chicago,IL,28
Board of Education City of Chicago,Head Start,Chicago,IL,3
La Casa Norte,Project Based Transitional Housing,Chicago,IL,26
Safer Foundation,Shelter Plus Care,Chicago,IL,42
Board Trustees Community College,Head Start Support Services,Chicago,IL,42
The Salvation Army,Head Start,Chicago,IL,37
Henry Booth House,Head Start,Chicago,IL,21
"Easter Seals Metropolitan Chicago, Inc.",Early Head Start – RTL,Chicago,IL,3
El Valor Corporation,Head Start,Chicago,IL,20
Y M C A of Metropolitan Chicago,Early Head Start – Child Care Partnership,Chicago,IL,26
Carole Robertson Center for Learning,Head Start,Chicago,IL,20
Family Rescue Inc,Resource and Information Management,Chicago,IL,25
Chicago Commons Association,Head Start,Chicago,IL,49
Lutheran Social Services of Illinois,Head Start,Chicago,IL,29
Center for Economic Progress,Tax Preparation Assistance,Chicago,IL,46
Board of Education City of Chicago,Head Start,Chicago,IL,6
Chapin Hall Center for Children,Head Start Support Services,Chicago,IL,20
Board of Education City of Chicago,Head Start,Chicago,IL,47
Metropolitan Family Services,Early Head Start – RTL,Chicago,IL,17
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,28
Greater West Town,Industry-Specific Training and Placement Program,Chicago,IL,27
El Hogar del Nino,Child Care Only,Chicago,IL,25
St Augustine College,Early Head Start Support Services,Chicago,IL,47
The Night Ministry,Low Threshold Youth Overnight Shelter,Chicago,IL,44
Board of Education City of Chicago,Head Start,Chicago,IL,16
El Hogar del Nino,Early Head Start,Chicago,IL,25
Back of the Yards Neighborhood Council,Intensive Case Advocacy and Support For At-Risk Seniors,Chicago,IL,15
"Unity Parenting and Counseling, Inc.",Homeless Youth Overnight Shelter: Low-Threshold,Chicago,IL,6
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,48
Korean American Community Services,Child Care Only,Chicago,IL,33
"Trinity United Church of Christ Child Care Centers, Incorporated",Early Head Start – Child Care Partnership,Chicago,IL,21
"OrganicLife, LLC.",Congregate Dining,Chicago,IL,34
Mercy Housing Lakefront,Shelter Plus Care,Chicago,IL,42
Board of Education City of Chicago,Head Start,Chicago,IL,12
"Family Focus, Inc.",Early Head Start – RTL,Chicago,IL,17
Catholic Charities of the Archdiocese of Chicago,Interim Housing,Chicago,IL,44
Chicago Youth Centers,Head Start,Chicago,IL,8
Board of Education City of Chicago,Head Start,Chicago,IL,25
Y M C A of Metropolitan Chicago,Head Start,Chicago,IL,24
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,34
Catholic Charities of the Archdiocese of Chicago,Permanent Supportive Housing,Chicago,IL,3
Housing Opportunities for Women,Shelter Plus Care,Chicago,IL,49
Catholic Charities of the Archdiocese of Chicago,Head Start,Chicago,IL,16
Chinese American Service League,Child Care Only,Chicago,IL,25
Local Initiative Support Corporation (LISC),Digital Literacy Program,Chicago,IL,28
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,3
Henry Booth House,Head Start,Chicago,IL,8
Family Rescue Inc,Interim Housing,,,
Board of Education City of Chicago,Head Start,Chicago,IL,17
"North Side Housing & Supportive Services, Inc.",Permanent Supportive Housing,Chicago,IL,44
Erikson Institute,Head Start Support Services,Chicago,IL,42
Board of Education City of Chicago,Head Start,Chicago,IL,11
Board of Education City of Chicago,Head Start,Chicago,IL,5
Metropolitan Family Services,Supervised Visitation and Safe Exchange,Chicago,IL,23
White Crane Wellness Center,Health and Wellness Promotion,Chicago,IL,47
Gads Hill Center,Early Head Start – RTL,Chicago,IL,15
"South Central Community Services, Inc.",Comprehensive Fitness,Chicago,IL,8
Board of Education City of Chicago,Head Start,Chicago,IL,22
Chicago Commons Association,Child Care Only,Chicago,IL,15
Henry Booth House,Early Head Start – Child Care Partnership,Chicago,IL,20
"Ada S. McKinley Community Services, Inc.",Child Care Only,Chicago,IL,7
Chicago Commons Association,Head Start,Chicago,IL,35
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,33
Mary Crane League,Head Start,Chicago,IL,49
North Avenue Day Nursery,Child Care Only,Chicago,IL,31
"Easter Seals Metropolitan Chicago, Inc.",Early Head Start,Chicago,IL,3
Board of Education City of Chicago,Head Start,Chicago,IL,23
Carole Robertson Center for Learning,Head Start,Chicago,IL,17
"Easter Seals Metropolitan Chicago, Inc.",Child Care Only,Chicago,IL,25
Chicago Youth Centers,Head Start,Chicago,IL,20
Centers for New Horizons,Head Start,Chicago,IL,3
"Ada S. McKinley Community Services, Inc.",Early Head Start – Child Care Partnership,Chicago,IL,34
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,34
Chicago Commons Association,Early Head Start – Child Care Partnership,Chicago,IL,33
Board of Education City of Chicago,Head Start,Chicago,IL,16
El Valor Corporation,Head Start,Chicago,IL,17
Board of Education City of Chicago,Head Start,Chicago,IL,46
Metropolitan Family Services,Early Head Start – RTL,Chicago,IL,9
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,11
Henry Booth House,Head Start,Chicago,IL,6
A Safe Haven Foundation,Low Threshold Youth Overnight Shelter,Chicago,IL,28
Chicago Youth Centers,Early Head Start – Child Care Partnership,Chicago,IL,24
North Avenue Day Nursery,Child Care Only,Chicago,IL,1
Mujeres Latinas En Accion,Counseling and Case Management Services,Chicago,IL,25
Onward Neighborhood House,Head Start,Chicago,IL,38
Sarah's Circle,Interim Housing,Chicago,IL,46
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,10
Board of Education City of Chicago,Head Start,Chicago,IL,26
Carole Robertson Center for Learning,Early Head Start – Child Care Partnership,Chicago,IL,24
McDermott Center dba Haymarket Center,Basic Street Outreach,Chicago,IL,27
Thresholds,Outreach and Engagement,Chicago,IL,47
El Valor Corporation,Head Start,Chicago,IL,17
Catholic Charities of the Archdiocese of Chicago,Early Learning for Immigrant Families,Chicago,IL,24
El Valor Corporation,Early Learning for Immigrant Families,Chicago,IL,25
North Avenue Day Nursery,Early Head Start,Chicago,IL,1
Board of Education City of Chicago,Head Start,Chicago,IL,24
Facing Forward to End Homelessness,Shelter Plus Care,Chicago,IL,27
St. Leonard's Ministries,Shelter Plus Care,Chicago,IL,27
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,29
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,4
Local Initiative Support Corporation (LISC),Digital Literacy Program,Chicago,IL,20
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,4
Institute of Women Today,Interim Housing,Chicago,IL,6
Y M C A of Metropolitan Chicago,Permanent Supportive Housing,Chicago,IL,2
Greater West Town,Transitional Jobs Program,Chicago,IL,27
Olive Branch Mission,Interim Housing,Chicago,IL,34
Local Initiative Support Corporation (LISC),Digital Literacy Program,Chicago,IL,17
Christopher House,Head Start,Chicago,IL,35
Chicago Commons Association,Head Start,Chicago,IL,23
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,34
El Hogar del Nino,Early Head Start,Chicago,IL,37
"Ada S. McKinley Community Services, Inc.",Head Start,Chicago,IL,7
"Asian Human Services, Inc.",Early Learning for Immigrant Families,Chicago,IL,50
"Trinity Resources Unlimited, Inc.",Child Care Only,Chicago,IL,29
Board of Education City of Chicago,Head Start,Chicago,IL,17
Thresholds,Specialized Servcies:  Clinical Services,Chicago,IL,47
Shining Star Youth & Community Services dba Shining Star Early Learning Academy,Early Head Start – Child Care Partnership,Chicago,IL,10
El Valor Corporation,Head Start Support Services,Chicago,IL,25
Christopher House,Child Care Only,Chicago,IL,35
Board of Education City of Chicago,Head Start,Chicago,IL,27
Henry Booth House,Child Care Only,Chicago,IL,10
Carole Robertson Center for Learning,Early Head Start,Chicago,IL,13
Gads Hill Center,Early Head Start – Child Care Partnership,Chicago,IL,18
Catholic Charities of the Archdiocese of Chicago,Shelter Plus Care,Chicago,IL,2
Y M C A of Metropolitan Chicago,Head Start,Chicago,IL,35
Henry Booth House,Early Head Start – Child Care Partnership,Chicago,IL,6
Chicago Youth Centers,Head Start,Chicago,IL,9
ReVive Center for Housing and Healing,Shelter Plus Care,Chicago,IL,27
Chicago Youth Centers,Head Start,Chicago,IL,24
Board of Education City of Chicago,Head Start,Chicago,IL,37
Board of Education City of Chicago,Head Start,Chicago,IL,1
Thresholds,Shelter Plus Care,Chicago,IL,47
Housing Opportunities for Women,Permanent Housing with Short-term Supports,Chicago,IL,49
"Ada S. McKinley Community Services, Inc.",Head Start,Chicago,IL,8
Board of Education City of Chicago,Head Start,Chicago,IL,34
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,10
Henry Booth House,Head Start,Chicago,IL,34
Centers for New Horizons,Early Head Start – Child Care Partnership,Chicago,IL,4
City-Wide Tax Assistance Program dba Ladder Up,Tax Preparation Assistance,Chicago,IL,15
Shining Star Youth & Community Services dba Shining Star Early Learning Academy,Head Start,Chicago,IL,8
Lutheran Social Services of Illinois,Head Start,Chicago,IL,50
Chicago Commons Association,Head Start,Chicago,IL,32
Carole Robertson Center for Learning,Early Head Start,Chicago,IL,13
El Valor Corporation,Child Care Only,Chicago,IL,25
Board of Education City of Chicago,Head Start,Chicago,IL,20
Y M C A of Metropolitan Chicago,Early Head Start – RTL,Chicago,IL,10
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,8
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,34
Henry Booth House,Early Head Start – Child Care Partnership,Chicago,IL,3
Board of Education City of Chicago,Head Start,Chicago,IL,3
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,29
Polish American Association,Legal Advocacy and Case Management,Chicago,IL,45
The Salvation Army,Early Head Start,Chicago,IL,30
North Avenue Day Nursery,Child Care Only,Chicago,IL,35
Center for Economic Progress,Tax Preparation Assistance,Chicago,IL,42
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,36
Henry Booth House,Head Start,Chicago,IL,3
Mary Crane League,Early Head Start,Chicago,IL,1
Inspiration Corporation,Employment Preparation and Placement Program,Chicago,IL,46
KAN-WIN,Permanent Housing with Short-term Supports,,,
"Beacon Therapeutic  School, Inc. dba Beacon Therapeutic Diagnostic and Treatment Center, Inc.",FUSE-Families,Chicago,IL,19
Ounce Of Prevention Fund,Early Head Start Support Services – Child Care Partnership,Chicago,IL,42
Deborah's Place,Safe Havens Program,Chicago,IL,2
Henry Booth House,Head Start,Chicago,IL,47
City-Wide Tax Assistance Program dba Ladder Up,Tax Preparation Assistance,Chicago,IL,1
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,30
LAF,Legal Services,Chicago,IL,42
Community Assistance Programs,Employment Preparation and Placement Program,Chicago,IL,9
Chicago Youth Centers,Head Start,Chicago,IL,18
Catholic Charities of the Archdiocese of Chicago,Head Start,Chicago,IL,15
Missionary P.A. Oseibonsu’s Committee’s Appeal for Charities and Goodwill for Foreign Mission Outreaches,Child Care Only,Chicago,IL,6
Inspiration Corporation,Basic Street Outreach,Chicago,IL,46
The Salvation Army,Child Care Only,Chicago,IL,30
Chicago Alliance to End Homelessness,Plan to End Homelessness,Chicago,IL,42
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,27
"Easter Seals Metropolitan Chicago, Inc.",Early Head Start – Child Care Partnership,Chicago,IL,28
Howard Area Community Center,Legal Advocacy and Case Management,Chicago,IL,49
LAF,Public Benefits Outreach and Enrollment,Chicago,IL,4
Goldie's Place,Employment Preparation and Placement Program,Chicago,IL,40
Board of Education City of Chicago,Head Start,Chicago,IL,28
Y M C A of Metropolitan Chicago,Early Head Start,Chicago,IL,26
Heartland Human Care Services Inc,Homelessness Prevention,Chicago,IL,47
"Open Kitchens, Inc.",Home Delivered Meals,Chicago,IL,25
Gads Hill Center,Early Head Start,Chicago,IL,15
"Ada S. McKinley Community Services, Inc.",Early Head Start – Child Care Partnership,Chicago,IL,17
Carole Robertson Center for Learning,Early Head Start,Chicago,IL,24
Chicago Horticultural Society dba Chicago Botanic Garden,Transitional Jobs Program,Chicago,IL,12
El Valor Corporation,Head Start,Chicago,IL,18
Board of Education City of Chicago,Head Start,Chicago,IL,3
El Hogar del Nino,Head Start,Chicago,IL,13
Board of Trustees of the University of Illinois,Head Start Support Services,Chicago,IL,27
The Salvation Army,Head Start,Chicago,IL,28
Board of Education City of Chicago,Head Start,Chicago,IL,17
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,23
Y M C A of Metropolitan Chicago,Early Head Start,Chicago,IL,17
"Options for Housing, Inc.",Homeless Prevention,Chicago,IL,2
Gads Hill Center,Head Start,Chicago,IL,18
Mary Crane League,Head Start,Chicago,IL,46
South-East Asia Center,Congregate Dining,Chicago,IL,47
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,5
Board of Education City of Chicago,Head Start,Chicago,IL,33
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,29
Howard Area Community Center,Head Start,Chicago,IL,49
Chicago Commons Association,Head Start,Chicago,IL,15
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,24
Inspiration Corporation,Transitional Jobs Program,Chicago,IL,46
Mary Crane League,Child Care Only,Chicago,IL,28
Board of Education City of Chicago,Head Start,Chicago,IL,27
Centers for New Horizons,Child Care Only,Chicago,IL,9
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,15
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,5
Board of Education City of Chicago,Head Start,Chicago,IL,28
"SGA Youth & Family Services, NFP",Early Head Start – Child Care Partnership,Chicago,IL,17
La Casa Norte,Low Threshold Youth Overnight Shelter,Chicago,IL,15
Carole Robertson Center for Learning,Early Head Start,Chicago,IL,29
North Avenue Day Nursery,Early Head Start – Child Care Partnership,Chicago,IL,36
The Catholic Bishop of Chicago - St. Pius V,Counseling and Case Management Services,Chicago,IL,25
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,36
Casa Central Social Services Corporation,Interim Housing,Chicago,IL,26
"It Takes A Village Child Care Services, Incorporated",Early Head Start – Child Care Partnership,Chicago,IL,37
Chicago Metropolitan Battered Women's Network,Family Violence Prevention Initiative,Chicago,IL,42
North Avenue Day Nursery,Child Care Only,Chicago,IL,40
"Apna Ghar, Inc",Supervised Visitation and Safe Exchange,Chicago,IL,46
Mary Crane League,Child Care Only,Chicago,IL,37
Employment & Employer Services,Transitional Jobs Program,Chicago,IL,42
The Salvation Army,Early Head Start – RTL,Chicago,IL,37
A Safe Haven Foundation,Shelter Plus Care,Chicago,IL,28
Chinese Consolidated Benevolent Association dba Chinese Consolidated Benevolent Foundation,Congregate Dining,Chicago,IL,25
Onward Neighborhood House,Head Start,Chicago,IL,32
Carole Robertson Center for Learning,Head Start,Chicago,IL,12
Corporation for Supportive,Technical Assistance and Training,Chicago,IL,42
Board of Education City of Chicago,Head Start,Chicago,IL,37
Y M C A of Metropolitan Chicago,Early Head Start – Child Care Partnership,Chicago,IL,28
City-Wide Tax Assistance Program dba Ladder Up,Tax Preparation Assistance,Chicago,IL,5
Erie Neighborhood House,Early Head Start – Child Care Partnership,Chicago,IL,1
Healthcare Alternative Systems,Counseling and Case Management Services,Chicago,IL,36
The Salvation Army,Older Relatives Raising Children,Chicago,IL,46
Rush University Medical Center,Health and Wellness Promotion,Chicago,IL,27
Christian Community Health Center dba Christian Community Health Center,Specialized Outreach and Engagement Services,Chicago,IL,19
Metropolitan Family Services,Head Start,Chicago,IL,17
Howard Brown Health Center,Youth Drop-In Center,Chicago,IL,44
Metropolitan Family Services,Counseling and Case Management Services,Chicago,IL,9
Henry Booth House,Head Start,Chicago,IL,34
Rush University Medical Center,Congregate Dining,Chicago,IL,27
Board Trustees Community College,Child Care Only,Chicago,IL,46
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,27
Franciscan Outreach Assoc,Permanent Supportive Housing,Chicago,IL,37
"Ada S. McKinley Community Services, Inc.",Early Head Start – RTL,Chicago,IL,18
Board of Education City of Chicago,Head Start,Chicago,IL,16
Casa Central Social Services Corporation,Industry-Specific Training and Placement Program,Chicago,IL,26
"Sonrisa Dental, P.C.",Head Start Support Services,Chicago,IL,12
Board of Education City of Chicago,Head Start,Chicago,IL,9
Neopolitan Lighthouse,Interim Housing,,,
El Valor Corporation,Head Start,Chicago,IL,33
Mary Crane League,Head Start,Chicago,IL,17
"Trinity United Church of Christ Child Care Centers, Incorporated",Head Start,Chicago,IL,21
Board of Education City of Chicago,Head Start,Chicago,IL,16
Board of Education City of Chicago,Head Start,Chicago,IL,24
Board of Education City of Chicago,Head Start,Chicago,IL,49
El Hogar del Nino,Child Care Only,Chicago,IL,37
Centers for New Horizons,Head Start Support Services,Chicago,IL,3
Board of Education City of Chicago,Head Start,Chicago,IL,20
Chicago Commons Association,Child Care Only,Chicago,IL,26
